	cell_type	gene
1764	Endothelial cells	SRPX
1765	Endothelial cells	ID3
1766	Endothelial cells	CAV1
1767	Endothelial cells	GNG11
1768	Endothelial cells	HSPG2
1769	Endothelial cells	CCL14
1770	Endothelial cells	CLEC1B
1771	Endothelial cells	FCN2
1772	Endothelial cells	S100A13
1773	Endothelial cells	FCN3
1774	Endothelial cells	CRHBP
1775	Endothelial cells	IFI27
1776	Endothelial cells	CCL23
1777	Endothelial cells	SGK1
1778	Endothelial cells	DNASE1L3
1779	Endothelial cells	LIFR
1780	Endothelial cells	PCAT19
1781	Endothelial cells	CDKN1C
1782	Endothelial cells	INMT
1783	Endothelial cells	PTGDS
1784	Endothelial cells	TIMP3
1785	Endothelial cells	GPM6A
1786	Endothelial cells	FAM167B
1787	Endothelial cells	LTC4S
1788	Endothelial cells	STAB2
1789	Endothelial cells (aorta)	ITGA5
1790	Endothelial cells (aorta)	TMTC2
1791	Endothelial cells (aorta)	NR1D1
1792	Endothelial cells (aorta)	HFE
1793	Endothelial cells (aorta)	PKN3
1794	Endothelial cells (aorta)	SULT1A1
1795	Endothelial cells (aorta)	TMTC1
1796	Endothelial cells (aorta)	SHE
1797	Endothelial cells (aorta)	ITGBL1
1798	Endothelial cells (aorta)	GRASP
1799	Endothelial cells (aorta)	ENPP4
1800	Endothelial cells (aorta)	ARHGEF15
1801	Endothelial cells (aorta)	TMEM184B
1802	Endothelial cells (aorta)	FOXC2
1803	Endothelial cells (aorta)	DHH
1804	Endothelial cells (aorta)	DENND5B
1805	Endothelial cells (aorta)	KAZALD1
1806	Endothelial cells (aorta)	FGD5
1807	Endothelial cells (aorta)	FAS
1808	Endothelial cells (aorta)	ITGB4
1809	Endothelial cells (aorta)	EMILIN1
1810	Endothelial cells (aorta)	MICAL2
1811	Endothelial cells (aorta)	NKX2-3
1812	Endothelial cells (aorta)	STXBP6
1813	Endothelial cells (aorta)	SYNPO
1814	Endothelial cells (aorta)	ATP2A3
1815	Endothelial cells (aorta)	GIMAP4
1816	Endothelial cells (aorta)	CMKLR1
1817	Endothelial cells (aorta)	ITGA9
1818	Endothelial cells (aorta)	SMAD6
1819	Endothelial cells (aorta)	EFNB2
1820	Endothelial cells (aorta)	LOX
1821	Endothelial cells (aorta)	FZD4
1822	Endothelial cells (aorta)	NTN1
1823	Endothelial cells (aorta)	NPR1
1824	Endothelial cells (aorta)	ARL4D
1825	Endothelial cells (aorta)	HEY2
1826	Endothelial cells (aorta)	HYAL2
1827	Endothelial cells (aorta)	FKBP7
1828	Endothelial cells (aorta)	NXN
1829	Endothelial cells (aorta)	PDIA5
1830	Endothelial cells (aorta)	APH1B
1831	Endothelial cells (aorta)	SOX18
1832	Endothelial cells (aorta)	WBP1L
1833	Endothelial cells (aorta)	LAMB2
1834	Endothelial cells (aorta)	CHST12
1835	Endothelial cells (aorta)	P3H3
1836	Endothelial cells (aorta)	KLK10
1837	Endothelial cells (aorta)	MALL
1838	Endothelial cells (aorta)	CLEC1A
1839	Endothelial cells (aorta)	MARVELD1
1840	Endothelial cells (aorta)	FAM198B
1841	Endothelial cells (aorta)	THBD
1842	Endothelial cells (aorta)	NOS3
1843	Endothelial cells (aorta)	TNS2
1844	Endothelial cells (aorta)	ATL2
1845	Endothelial cells (aorta)	ACKR3
1846	Endothelial cells (aorta)	COL4A4
1847	Endothelial cells (aorta)	CALCRL
1848	Endothelial cells (aorta)	COL4A3
1849	Endothelial cells (aorta)	PER3
1850	Endothelial cells (aorta)	STAB1
1851	Endothelial cells (aorta)	CYP1B1
1852	Endothelial cells (aorta)	EPHX2
1853	Endothelial cells (aorta)	KLK8
1854	Endothelial cells (aorta)	BACE2
1855	Endothelial cells (aorta)	BMP6
1856	Endothelial cells (aorta)	SULF1
1857	Endothelial cells (aorta)	CPQ
1858	Endothelial cells (aorta)	PI16
1859	Endothelial cells (aorta)	AMIGO2
1860	Endothelial cells (aorta)	PTPRJ
1861	Endothelial cells (aorta)	TRIM47
1862	Endothelial cells (aorta)	LMCD1
1863	Endothelial cells (aorta)	PDE3A
1864	Endothelial cells (aorta)	BMX
1865	Endothelial cells (aorta)	PROCR
1866	Endothelial cells (aorta)	SMOC1
1867	Endothelial cells (aorta)	CRACR2B
1868	Endothelial cells (aorta)	GJA5
1869	Endothelial cells (aorta)	BMP4
1870	Endothelial cells (aorta)	SOD3
1871	Endothelial cells (aorta)	ADH7
1872	Endothelial cells (aorta)	PCOLCE2
1873	Endothelial cells (aorta)	PTGIS
1874	Endothelial cells (aorta)	ACE
1875	Endothelial cells (aorta)	GXYLT2
1876	Endothelial cells (aorta)	CYTL1
1877	Endothelial cells (aorta)	EHD3
1878	Endothelial cells (blood brain barrier)	ABCG2
1879	Endothelial cells (blood brain barrier)	GFAP
1880	Endothelial cells (blood brain barrier)	GPR37L1
1881	Endothelial cells (blood brain barrier)	SLC13A4
1882	Endothelial cells (blood brain barrier)	SLC19A1
1883	Endothelial cells (blood brain barrier)	SLC23A2
1884	Endothelial cells (blood brain barrier)	SLC38A3
1885	Endothelial cells (blood brain barrier)	TNFRSF19
1886	Endothelial cells (blood brain barrier)	TNFRSF21
1887	Endothelial cells (blood brain barrier)	FOXF2
1888	Endothelial cells (blood brain barrier)	FOXL2
1889	Endothelial cells (blood brain barrier)	FOXQ1
1890	Endothelial cells (blood brain barrier)	LEF1
1891	Endothelial cells (blood brain barrier)	PPARD
1892	Endothelial cells (blood brain barrier)	ZIC3
1893	Endothelial cells (blood brain barrier)	ALCAM
1894	Enteric glia cells	GFRA3
1895	Enteric glia cells	MPZ
1896	Enteric glia cells	LGI4
1897	Enteric glia cells	RGS16
1898	Enteric glia cells	ALDH1A1
1899	Enteric glia cells	L1CAM
1900	Enteric glia cells	CXCL14
1901	Enteric glia cells	DKK3
1902	Enteric glia cells	INTS6
1903	Enteric glia cells	DHRS3
1904	Enteric glia cells	SOX10
1905	Enteric glia cells	GFAP
1906	Enteric glia cells	S100B
1907	Enteric glia cells	NOS2
1908	Enteric glia cells	FOXD3
1909	Enteric glia cells	ALDH1A3
1910	Enteric glia cells	SLC18A2
1911	Enteric neurons	HIVEP3
1912	Enteric neurons	PLEKHA5
1913	Enteric neurons	IGF2BP3
1914	Enteric neurons	ARHGAP26
1915	Enteric neurons	TTBK2
1916	Enteric neurons	ASTN1
1917	Enteric neurons	CACNA1E
1918	Enteric neurons	TUB
1919	Enteric neurons	FILIP1
1920	Enteric neurons	GCNT2
1921	Enteric neurons	VEZT
1922	Enteric neurons	RET
1923	Enteric neurons	AHDC1
1924	Enteric neurons	MAP6
1925	Enteric neurons	RGMB
1926	Enteric neurons	FBXO7
1927	Enteric neurons	PPP2R5B
1928	Enteric neurons	SNX21
1929	Enteric neurons	FSTL5
1930	Enteric neurons	LIX1
1931	Enteric neurons	RGS3
1932	Enteric neurons	CYTH3
1933	Enteric neurons	TSHZ1
1934	Enteric neurons	STXBP5
1935	Enteric neurons	ATF5
1936	Enteric neurons	DMKN
1937	Enteric neurons	CACNA1B
1938	Enteric neurons	PIK3CA
1939	Enteric neurons	ZDHHC2
1940	Enteric neurons	MYL1
1941	Enteric neurons	EML5
1942	Enteric neurons	MFSD6
1943	Enteric neurons	SCN7A
1944	Enteric neurons	ARHGEF28
1945	Enteric neurons	HAND2
1946	Enteric neurons	VSTM2L
1947	Enteric neurons	FAM19A5
1948	Enteric neurons	EFNA5
1949	Enteric neurons	HOXB4
1950	Enteric neurons	TLX2
1951	Enteric neurons	GOLGA7B
1952	Enteric neurons	SLC18A3
1953	Enteric neurons	TOX
1954	Enteric neurons	CELF6
1955	Enteric neurons	GPR22
1956	Enteric neurons	PLCE1
1957	Enteric neurons	CYB561
1958	Enteric neurons	GFRA2
1959	Enteric neurons	FLOT2
1960	Enteric neurons	SLC7A14
1961	Enteric neurons	JPH3
1962	Enteric neurons	CASZ1
1963	Enteric neurons	TAC1
1964	Enteric neurons	SCN3A
1965	Enteric neurons	CHRNA3
1966	Enteric neurons	PARVA
1967	Enteric neurons	SLC10A4
1968	Enteric neurons	TM4SF4
1969	Enteric neurons	FAM19A1
1970	Enteric neurons	SLC5A7
1971	Enteric neurons	PHOX2B
1972	Enteric neurons	PIRT
1973	Enteric neurons	HOXB5
1974	Enteric neurons	HOXA5
1975	Enteric neurons	GAL
1976	Enteric neurons	CARTPT
1977	Enteric neurons	NMU
1978	Enteric neurons	VIP
1979	Enteric neurons	CCK
1980	Enterochromaffin cells	REG4
1981	Enterochromaffin cells	AFP
1982	Enterochromaffin cells	SLC18A1
1983	Enterochromaffin cells	LMX1A
1984	Enterochromaffin cells	TRPA1
1985	Enterochromaffin cells	FGF1
1986	Enterochromaffin cells	PIEZO2
1987	Enterochromaffin cells	ADGRG4
1988	Enterochromaffin cells	ADM
1989	Enterochromaffin cells	TPH1
1990	Enterochromaffin cells	CRH
1991	Enterochromaffin cells	GJB1
1992	Enterocytes	GATA4
1993	Enterocytes	LYPD8
1994	Enterocytes	NLRP6
1995	Enterocytes	KRT20
1996	Enterocytes	MYO1A
1997	Enterocytes	PPARG
1998	Enterocytes	SLC15A1
1999	Enterocytes	FLOT2
2000	Enterocytes	APOBEC1
2001	Enterocytes	PLIN3
2002	Enterocytes	SLC10A2
2003	Enterocytes	SLC40A1
2004	Enterocytes	SLC5A1
2005	Enterocytes	TTC7A
2006	Enterocytes	NPC1L1
2007	Enterocytes	FABP1
2008	Enterocytes	ANPEP
2009	Enterocytes	CA1
2010	Enterocytes	CPS1
2011	Enterocytes	DPP4
2012	Enterocytes	SLC2A5
2013	Enterocytes	ALPI
2014	Enterocytes	FABP2
2015	Enterocytes	LCT
2016	Enterocytes	SI
2017	Enterocytes	VIL1
2018	Enterocytes	FUOM
2019	Enterocytes	FAHD1
2020	Enterocytes	OTC
2021	Enterocytes	CDH17
2022	Enterocytes	KHK
2023	Enterocytes	ABHD11
2024	Enterocytes	VDR
2025	Enterocytes	EHF
2026	Enterocytes	CDC42EP5
2027	Enterocytes	CASP6
2028	Enterocytes	HNF4A
2029	Enterocytes	AQP1
2030	Enterocytes	TMEM45B
2031	Enterocytes	RGMB
2032	Enterocytes	PDHA1
2033	Enterocytes	CDO1
2034	Enterocytes	ELF3
2035	Enterocytes	KRTCAP3
2036	Enterocytes	DEGS2
2037	Enterocytes	TMC4
2038	Enterocytes	PPP1R14D
2039	Enterocytes	TM4SF5
2040	Enterocytes	RNF186
2041	Enterocytes	CEACAM1
2042	Enterocytes	KLF5
2043	Enterocytes	CDX1
2044	Enterocytes	CDX2
2045	Enterocytes	CLDN15
2046	Enterocytes	ASCL2
2047	Enterocytes	SMOC2
2048	Enterocytes	PRR15L
2049	Enterocytes	FBP2
2050	Enterocytes	SDSL
2051	Enterocytes	FERMT1
2052	Enterocytes	ALDOB
2053	Enterocytes	MUC13
2054	Enterocytes	PHGR1
2055	Enterocytes	PRAP1
2056	Enterocytes	CCL25
2057	Enterocytes	LGALS2
2058	Enterocytes	SPON2
2059	Enterocytes	ASPN
2060	Enterocytes	CTRB1
2061	Enterocytes	CD55
2062	Enterocytes	CDH19
2063	Enterocytes	SLC35F1
2064	Enterocytes	G0S2
2065	Enterocytes	GULP1
2066	Enterocytes	NKD2
2067	Enterocytes	COL18A1
2068	Enterocytes	SOX10
2069	Enterocytes	COL20A1
2070	Enterocytes	PMEPA1
2071	Enterocytes	GFRA2
2072	Enterocytes	ART3
2073	Enterocytes	SLC26A2
2074	Enterocytes	PRSS2
2075	Enterocytes	L1CAM
2076	Enterocytes	SLC11A2
2077	Enterocytes	SLC26A3
2078	Enterocytes	APOA1
2079	Enterocytes	APOA4
2080	Enterocytes	CBR1
2081	Enterocytes	EPHX2
2082	Enterocytes	GSTM3
2083	Enterocytes	CREB3L3
2084	Enterocytes	MEP1A
2085	Enterocytes	FABP6
2086	Enterocytes	RBP2
2087	Enterocytes	CYP3A4
2088	Enterocytes	APOB
2089	Enterocytes	MTTP
2090	Enterocytes	SLC2A2
2091	Enterocytes	APOC3
2092	Enterocytes	UGT2B17
2093	Enterocytes	CD36
2094	Enterocytes	REG3A
2095	Enterocytes	ISX
2096	Enterocytes	AQP10
2097	Enterocytes	S100G
2098	Enterocytes	BEST4
2099	Enterocytes	SLC28A1
2100	Enterocytes	SLC28A2
2101	Enterocytes	SLC30A10
2102	Enterocytes	SLC51B
2103	Enterocytes	VNN1
2104	Enterocytes	SLC23A1
2105	Enterocytes	TREH
2106	Enterocytes	ABCC2
2107	Enterocytes	ABCG5
2108	Enterocytes	SLC52A1
2109	Enterocytes	CYP3A7
2110	Enterocytes	DMBT1
2111	Enterocytes	ABCG8
2112	Enterocytes	PLIN2
2113	Enterocytes	GSTA1
2114	Enterocytes	CYBRD1
2115	Enterocytes	ABCG2
2116	Enterocytes	NR1H4
2117	Enterocytes	DAB1
2118	Enterocytes	TM6SF2
2119	Enterocytes	NR5A2
2120	Enterocytes	PDZK1
2121	Enterocytes	ACSL5
2122	Enterocytes	AQP11
2123	Enterocytes	AQP7
2124	Enterocytes	AQP8
2125	Enterocytes	HMOX1
2126	Enterocytes	SLC39A5
2127	Enterocytes	SLC51A
2128	Enterocytes	TRPM6
2129	Enterocytes	MOGAT2
2130	Enterocytes	GLS
2131	Enterocytes	MAOA
2132	Enterocytes	DGAT1
2133	Enterocytes	DGAT2
2134	Enteroendocrine cells	NPSR1
2135	Enteroendocrine cells	FFAR3
2136	Enteroendocrine cells	SCN3A
2137	Enteroendocrine cells	NEUROG3
2138	Enteroendocrine cells	FFAR1
2139	Enteroendocrine cells	ARX
2140	Enteroendocrine cells	NKX2-2
2141	Enteroendocrine cells	SCT
2142	Enteroendocrine cells	CCK
2143	Enteroendocrine cells	GFRA3
2144	Enteroendocrine cells	VWA5B2
2145	Enteroendocrine cells	NEUROD1
2146	Enteroendocrine cells	SCGN
2147	Enteroendocrine cells	PCSK1
2148	Enteroendocrine cells	ISL1
2149	Enteroendocrine cells	FABP5
2150	Enteroendocrine cells	TAC1
2151	Enteroendocrine cells	RIMBP2
2152	Enteroendocrine cells	PAX6
2153	Enteroendocrine cells	GIP
2154	Enteroendocrine cells	GLP1R
2155	Enteroendocrine cells	PYY
2156	Enteroendocrine cells	GLP2R
2157	Enteroendocrine cells	GAST
2158	Enteroendocrine cells	NTS
2159	Enteroendocrine cells	SST
2160	Enteroendocrine cells	MLN
2161	Enteroendocrine cells	GPR119
2162	Enteroendocrine cells	GCG
2163	Enteroendocrine cells	CHGB
2164	Enteroendocrine cells	CPE
2165	Enteroendocrine cells	GAL
2166	Enteroendocrine cells	NUCB2
2167	Enteroendocrine cells	IAPP
2168	Enteroendocrine cells	GHRL
2169	Enteroendocrine cells	CHGA
2170	Enteroendocrine cells	TRPA1
2171	Enteroendocrine cells	ENPP2
2172	Enteroendocrine cells	AFP
2173	Enteroendocrine cells	VEGFA
2174	Enteroendocrine cells	FFAR4
2175	Enteroendocrine cells	MC4R
2176	Enteroendocrine cells	INSL5
2177	Enteroendocrine cells	SSTR2
2178	Enteroendocrine cells	ALCAM
2179	Enteroendocrine cells	TAS1R2
2180	Enteroendocrine cells	TAS1R3
2181	Enteroendocrine cells	GNAT3
2182	Eosinophils	C3AR1
2183	Eosinophils	FUT4
2184	Eosinophils	FCER2
2185	Eosinophils	C5AR1
2186	Eosinophils	CXCR3
2187	Eosinophils	CCR1
2188	Eosinophils	CCR3
2189	Eosinophils	CD244
2190	Eosinophils	PTGDR2
2191	Eosinophils	S100A9
2192	Eosinophils	SIGLEC8
2193	Eosinophils	SIGLEC10
2194	Eosinophils	PGLYRP1
2195	Eosinophils	LTC4S
2196	Eosinophils	EPX
2197	Eosinophils	CD69
2198	Eosinophils	RNASE3
2199	Eosinophils	RNASE2
2200	Eosinophils	IL5
2201	Eosinophils	PRG2
2202	Eosinophils	PRG3
2203	Eosinophils	CPA3
2204	Eosinophils	IKZF2
2205	Eosinophils	CCL11
2206	Eosinophils	CCL5
2207	Eosinophils	CSF2
2208	Eosinophils	IL5RA
2209	Ependymal cells	FOXJ1
2210	Ependymal cells	TRIM71
2211	Ependymal cells	SIX3
2212	Ependymal cells	USP18
2213	Ependymal cells	AQP4
2214	Ependymal cells	CELSR2
2215	Ependymal cells	AQP1
2216	Ependymal cells	GFAP
2217	Ependymal cells	ENKUR
2218	Ependymal cells	FAM216B
2219	Ependymal cells	KRT15
2220	Ependymal cells	CATIP
2221	Ependymal cells	DNAH12
2222	Ependymal cells	FAM166B
2223	Ependymal cells	IQCG
2224	Ependymal cells	SPEF2
2225	Ependymal cells	MYO16
2226	Ependymal cells	ODF3B
2227	Ependymal cells	PLXNB2
2228	Ependymal cells	TEKT1
2229	Ependymal cells	CHEK2
2230	Ependymal cells	CROCC
2231	Ependymal cells	NME9
2232	Ependymal cells	CFAP126
2233	Ependymal cells	MEIG1
2234	Ependymal cells	HSPA2
2235	Ependymal cells	CFAP65
2236	Ependymal cells	LRRC23
2237	Ependymal cells	TEKT4
2238	Ependymal cells	CALML4
2239	Ependymal cells	PIFO
2240	Ependymal cells	CRYGN
2241	Ependymal cells	HDC
2242	Ependymal cells	PCP4L1
2243	Ependymal cells	DYNLRB2
2244	Ependymal cells	TMEM107
2245	Ependymal cells	RIIAD1
2246	Ependymal cells	TMEM212
2247	Ependymal cells	RSPH1
2248	Ependymal cells	CCDC153
2249	Ependymal cells	S100B
2250	Ependymal cells	AK7
2251	Ependymal cells	RARRES2
2252	Ependymal cells	PVALB
2253	Ependymal cells	ANGPTL2
2254	Ependymal cells	CFAP54
2255	Ependymal cells	STOML3
2256	Ependymal cells	PLTP
2257	Ependymal cells	SSPO
2258	Ependymal cells	EFNB3
2259	Ependymal cells	MYB
2260	Ependymal cells	RFX2
2261	Ependymal cells	ZMYND10
2262	Ependymal cells	AK8
2263	Ependymal cells	CFAP44
2264	Ependymal cells	TM4SF1
2265	Epiblast cells	NANOG
2266	Epiblast cells	POU5F1
2267	Epiblast cells	ERAS
2268	Epiblast cells	CDH1
2269	Epiblast cells	EPCAM
2270	Epiblast cells	CLDN6
2271	Epiblast cells	CLDN7
2272	Epiblast cells	SLC35D3
2273	Epiblast cells	TDGF1
2274	Epiblast cells	CXCL12
2275	Epiblast cells	SOX11
2276	Epiblast cells	LEF1
2277	Epiblast cells	CRMP1
2278	Epiblast cells	DPYSL5
2279	Epiblast cells	BCL11A
2280	Epiblast cells	INA
2281	Epiblast cells	MFAP2
2282	Epithelial cells	CD24
2283	Epithelial cells	CEACAM1
2284	Epithelial cells	ST6GAL1
2285	Epithelial cells	ITGB4
2286	Epithelial cells	IL1R1
2287	Epithelial cells	PROM1
2288	Epithelial cells	CDH1
2289	Epithelial cells	KRT1
2290	Epithelial cells	KRT7
2291	Epithelial cells	MUC1
2292	Epithelial cells	ICAM1
2293	Epithelial cells	KRT14
2294	Epithelial cells	KRT5
2295	Epithelial cells	ITGAL
2296	Epithelial cells	CD2
2297	Epithelial cells	KLK3
2298	Epithelial cells	ITGA5
2299	Epithelial cells	ITGA4
2300	Epithelial cells	ITGA2
2301	Epithelial cells	KRT3
2302	Epithelial cells	KRT16
2303	Epithelial cells	SCNN1A
2304	Epithelial cells	KRT15
2305	Epithelial cells	ITGA1
2306	Epithelial cells	KRT2
2307	Epithelial cells	SCNN1B
2308	Epithelial cells	SCNN1D
2309	Epithelial cells	SCNN1G
2310	Epithelial cells	IFI16
2311	Epithelial cells	BOK
2312	Epithelial cells	NKD1
2313	Epithelial cells	FZD6
2314	Epithelial cells	DKK3
2315	Epithelial cells	NRP2
2316	Epithelial cells	SFRP5
2317	Epithelial cells	RAI14
2318	Epithelial cells	DEFB1
2319	Epithelial cells	KLK1
2320	Epithelial cells	AGR2
2321	Epithelial cells	APOA1
2322	Epithelial cells	GPA33
2323	Epithelial cells	ANPEP
2324	Epithelial cells	CRYBA1
2325	Epithelial cells	BMI1
2326	Epithelial cells	BRCA1
2327	Epithelial cells	MUC16
2328	Epithelial cells	CEACAM5
2329	Epithelial cells	CTSE
2330	Epithelial cells	SCGB1A1
2331	Epithelial cells	EXO1
2332	Epithelial cells	FOXA1
2333	Epithelial cells	GABRP
2334	Epithelial cells	GGT1
2335	Epithelial cells	SFN
2336	Epithelial cells	KRT13
2337	Epithelial cells	LTF
2338	Epithelial cells	SLC46A2
2339	Epithelial cells	KLK10
2340	Epithelial cells	P2RX7
2341	Epithelial cells	CDKN2A
2342	Epithelial cells	TP63
2343	Epithelial cells	CDH3
2344	Epithelial cells	PSCA
2345	Epithelial cells	AGER
2346	Epithelial cells	ZFP42
2347	Epithelial cells	SPRR1B
2348	Epithelial cells	SI
2349	Epithelial cells	TTR
2350	Epithelial cells	TM4SF20
2351	Epithelial cells	TSTD1
2352	Epithelial cells	SYCN
2353	Epithelial cells	HBEGF
2354	Epithelial cells	PIGR
2355	Epithelial cells	MUC13
2356	Epithelial cells	SELENBP1
2357	Epithelial cells	ELF3
2358	Epithelial cells	TSPAN1
2359	Epithelial cells	GUCA2A
2360	Epithelial cells	PHGR1
2361	Epithelial cells	LYPD8
2362	Epithelial cells	LGALS4
2363	Epithelial cells	GATA2
2364	Epithelial cells	SEC23B
2365	Epithelial cells	TSPAN8
2366	Epithelial cells	DLX5
2367	Epithelial cells	DGAT2
2368	Epithelial cells	ITPR2
2369	Epithelial cells	THRSP
2370	Epithelial cells	PLA2G4A
2371	Epithelial cells	SLC25A48
2372	Epithelial cells	PGR
2373	Epithelial cells	FERMT1
2374	Epithelial cells	EHF
2375	Epithelial cells	PLEKHS1
2376	Epithelial cells	CDKL1
2377	Epithelial cells	MECOM
2378	Epithelial cells	MSX1
2379	Epithelial cells	RNF128
2380	Epithelial cells	ANLN
2381	Epithelial cells	CKAP2
2382	Epithelial cells	HMMR
2383	Epithelial cells	KIF15
2384	Epithelial cells	CKAP2L
2385	Epithelial cells	KIF20B
2386	Epithelial cells	HIRIP3
2387	Epithelial cells	INCENP
2388	Epithelial cells	KIF23
2389	Epithelial cells	PRC1
2390	Epithelial cells	ECT2
2391	Epithelial cells	CXCL10
2392	Epithelial cells	CXCL8
2393	Epithelial cells	CCL20
2394	Epithelial cells	CXCL17
2395	Epithelial cells	PRG4
2396	Epithelial cells	ALOX15
2397	Epithelial cells	F5
2398	Epithelial cells	EMILIN2
2399	Epithelial cells	SPTSSB
2400	Epithelial cells	FMO5
2401	Epithelial cells	IVL
2402	Epithelial cells	VSIG2
2403	Epithelial cells	AQP3
2404	Epithelial cells	PAQR5
2405	Epithelial cells	EPCAM
2406	Epithelial cells	CLDN1
2407	Epithelial cells	OCLN
2408	Epithelial cells	MUC5AC
2409	Epsilon cells	GHRL
2410	Epsilon cells	ANXA13
2411	Epsilon cells	PHGR1
2412	Epsilon cells	BMP4
2413	Epsilon cells	HMGCS2
2414	Epsilon cells	TM4SF5
2415	Epsilon cells	OLFML3
2416	Epsilon cells	ASGR1
2417	Epsilon cells	COX6A2
2418	Epsilon cells	NPY1R
2419	Epsilon cells	FAXDC2
2420	Epsilon cells	SLC7A9
2421	Epsilon cells	C2ORF54
2422	Epsilon cells	GHRLOS
2423	Epsilon cells	BHMT
2424	Epsilon cells	OPRK1
2425	Epsilon cells	PTGER4
2426	Epsilon cells	ITGA4
2427	Epsilon cells	EYA4
2428	Epsilon cells	XYLB
2429	Epsilon cells	ELOVL2
2430	Epsilon cells	AFF3
2431	Epsilon cells	CORIN
2432	Epsilon cells	MYO1A
2433	Epsilon cells	HRH2
2434	Epsilon cells	CALCR
2435	Epsilon cells	SLC6A16
2436	Epsilon cells	PCSK6
2437	Epsilon cells	ADAMTS6
2438	Epsilon cells	COL22A1
2439	Epsilon cells	FAM124A
2440	Epsilon cells	COL12A1
2441	Epsilon cells	CD109
2442	Epsilon cells	THSD4
2443	Epsilon cells	ARX
2444	Epsilon cells	NKX2-2
2445	Epsilon cells	ACSL1
2446	Epsilon cells	FRZB
2447	Epsilon cells	VTN
2448	Epsilon cells	APOH
2449	Epsilon cells	SPINK1
2450	Epsilon cells	VSTM2L
2451	Epsilon cells	SPTSSB
2452	Epsilon cells	S100A6
2453	Epsilon cells	KRT8
2454	Erythroblasts	CGA
2455	Erythroblasts	TFRC
2456	Erythroblasts	CDH1
2457	Erythroblasts	WRN
2458	Erythroblasts	CD44
2459	Erythroblasts	KLF1
2460	Erythroblasts	BCL11A
2461	Erythroblasts	BPGM
2462	Erythroblasts	ETS1
2463	Erythroblasts	EPOR
2464	Erythroblasts	IGBP1
2465	Erythroblasts	TFR2
2466	Erythroblasts	GYPA
2467	Erythroblasts	LMNB1
2468	Erythroblasts	LRP8
2469	Erythroblasts	GRSF1
2470	Erythroblasts	USE1
2471	Erythroblasts	ITGB1
2472	Erythroblasts	CFP
2473	Erythroblasts	ENG
2474	Erythroblasts	KIT
2475	Erythroblasts	LMO2
2476	Erythroblasts	GATA1
2477	Erythroblasts	TAL1
2478	Erythroblasts	KMT5A
2479	Erythroblasts	PIEZO1
2480	Erythroid-like and erythroid precursor cells	ALAS2
2481	Erythroid-like and erythroid precursor cells	HEXA
2482	Erythroid-like and erythroid precursor cells	AQP1
2483	Erythroid-like and erythroid precursor cells	CCNA2
2484	Erythroid-like and erythroid precursor cells	PKLR
2485	Erythroid-like and erythroid precursor cells	LOX
2486	Erythroid-like and erythroid precursor cells	ARG1
2487	Erythroid-like and erythroid precursor cells	HBB
2488	Erythroid-like and erythroid precursor cells	HBA1
2489	Erythroid-like and erythroid precursor cells	HBA2
2490	Erythroid-like and erythroid precursor cells	HBG1
2491	Erythroid-like and erythroid precursor cells	HBG2
2492	Erythroid-like and erythroid precursor cells	CEACAM1
2493	Erythroid-like and erythroid precursor cells	CD36
2494	Erythroid-like and erythroid precursor cells	GYPA
2495	Erythroid-like and erythroid precursor cells	THBS1
2496	Erythroid-like and erythroid precursor cells	ITGA4
2497	Erythroid-like and erythroid precursor cells	GYPB
2498	Erythroid-like and erythroid precursor cells	AHSP
2499	Erythroid-like and erythroid precursor cells	HBM
2500	Erythroid-like and erythroid precursor cells	FECH
2501	Erythroid-like and erythroid precursor cells	EPOR
2502	Erythroid-like and erythroid precursor cells	KIT
2503	Erythroid-like and erythroid precursor cells	BPGM
2504	Erythroid-like and erythroid precursor cells	DCAF12
2505	Erythroid-like and erythroid precursor cells	HBD
2506	Erythroid-like and erythroid precursor cells	HEMGN
2507	Erythroid-like and erythroid precursor cells	HMBS
2508	Erythroid-like and erythroid precursor cells	NCOA4
2509	Erythroid-like and erythroid precursor cells	RBM38
2510	Erythroid-like and erythroid precursor cells	UCP2
2511	Erythroid-like and erythroid precursor cells	UBB
2512	Erythroid-like and erythroid precursor cells	TMCC2
2513	Erythroid-like and erythroid precursor cells	SLC4A1
2514	Erythroid-like and erythroid precursor cells	SLC25A39
2515	Erythroid-like and erythroid precursor cells	SLC25A37
2516	Erythroid-like and erythroid precursor cells	FOSB
2517	Erythroid-like and erythroid precursor cells	HTATSF1
2518	Erythroid-like and erythroid precursor cells	EPB41
2519	Erythroid-like and erythroid precursor cells	RSAD2
2520	Erythroid-like and erythroid precursor cells	COX6B2
2521	Erythroid-like and erythroid precursor cells	APOA1
2522	Erythroid-like and erythroid precursor cells	ASNS
2523	Erythroid-like and erythroid precursor cells	ALAD
2524	Erythroid-like and erythroid precursor cells	S100A9
2525	Erythroid-like and erythroid precursor cells	AHSG
2526	Erythroid-like and erythroid precursor cells	S100A8
2527	Erythroid-like and erythroid precursor cells	ERMAP
2528	Erythroid-like and erythroid precursor cells	KCNN4
2529	Erythroid-like and erythroid precursor cells	PAN3
2530	Erythroid-like and erythroid precursor cells	PFAS
2531	Erythroid-like and erythroid precursor cells	VAMP5
2532	Erythroid-like and erythroid precursor cells	PNPO
2533	Erythroid-like and erythroid precursor cells	TSPO2
2534	Erythroid-like and erythroid precursor cells	RHD
